# AZ - ANZA Regional Network
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
LVA2,33.35,-116.56,1435 m,28.9,6.1,21.23,AD 1993.04.18 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,166,782,AZ.LVA2,class edu.sc.seis.sod.velocity.network.VelocityStation
BVDA2,33.33,-116.37,0.0 m,56.0,10.0,17.86,AD 2003.05.13 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,20,112,AZ.BVDA2,class edu.sc.seis.sod.velocity.network.VelocityStation
YAQ,33.17,-116.35,430 m,59.7,11.8,19.77,AD 1998.02.02 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,51,258,AZ.YAQ,class edu.sc.seis.sod.velocity.network.VelocityStation
PFO,33.61,-116.46,1259 m,39.7,11.5,29.07,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,218,750,AZ.PFO,class edu.sc.seis.sod.velocity.network.VelocityStation
BZN,33.49,-116.67,1301 m,59.3,10.9,18.41,AD 1983.01.20 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,144,782,AZ.BZN,class edu.sc.seis.sod.velocity.network.VelocityStation
SMER2,33.46,-117.17,355 m,692.4,173.1,25.00,AD 2002.08.21 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,2,8,AZ.SMER2,class edu.sc.seis.sod.velocity.network.VelocityStation
SND,33.55,-116.61,1358 m,54.4,10.9,20.00,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,159,795,AZ.SND,class edu.sc.seis.sod.velocity.network.VelocityStation
WMC,33.57,-116.67,1271 m,54.2,12.4,22.84,AD 1983.09.16 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,153,670,AZ.WMC,class edu.sc.seis.sod.velocity.network.VelocityStation
ELKS,33.58,-116.45,1169 m,26.1,7.4,28.57,AD 1996.04.27 00:00:00.000 GMT,AD 1997.06.18 00:00:00.000 GMT,16,56,AZ.ELKS,class edu.sc.seis.sod.velocity.network.VelocityStation
FRD,33.49,-116.60,1164 m,41.0,11.9,29.10,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,211,725,AZ.FRD,class edu.sc.seis.sod.velocity.network.VelocityStation
FLV2,32.91,-117.06,0.3 km,1391.7,232.0,16.67,AD 2002.08.14 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,1,6,AZ.FLV2,class edu.sc.seis.sod.velocity.network.VelocityStation
SHUM,33.63,-116.44,1195 m,21.0,5.1,24.10,AD 1996.04.23 00:00:00.000 GMT,AD 1997.06.18 00:00:00.000 GMT,20,83,AZ.SHUM,class edu.sc.seis.sod.velocity.network.VelocityStation
SMTC,32.94,-115.80,0.1 km,338.4,132.4,39.13,AD 1998.02.02 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,9,23,AZ.SMTC,class edu.sc.seis.sod.velocity.network.VelocityStation
ASBS,33.62,-116.47,1400 m,16.8,5.8,34.25,AD 1996.04.24 00:00:00.000 GMT,AD 1997.06.18 00:00:00.000 GMT,25,73,AZ.ASBS,class edu.sc.seis.sod.velocity.network.VelocityStation
HWB,33.03,-116.96,478 m,38.7,8.6,22.16,AD 2002.07.03 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,37,167,AZ.HWB,class edu.sc.seis.sod.velocity.network.VelocityStation
MONP,32.89,-116.42,1920 m,30.5,6.9,22.52,AD 1998.02.02 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,100,444,AZ.MONP,class edu.sc.seis.sod.velocity.network.VelocityStation
SMER,33.46,-117.17,355 m,29.8,5.8,19.56,AD 2002.02.09 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,53,271,AZ.SMER,class edu.sc.seis.sod.velocity.network.VelocityStation
TRO,33.52,-116.43,2628 m,166.3,34.1,20.47,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,52,254,AZ.TRO,class edu.sc.seis.sod.velocity.network.VelocityStation
CRY,33.57,-116.74,1128 m,43.0,11.5,26.69,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,201,753,AZ.CRY,class edu.sc.seis.sod.velocity.network.VelocityStation
RDM,33.63,-116.85,1365 m,35.6,10.6,29.89,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,243,813,AZ.RDM,class edu.sc.seis.sod.velocity.network.VelocityStation
GLA,33.05,-114.83,579 m,14.8,3.6,24.56,AD 2000.11.06 00:00:00.000 GMT,AD 2001.06.01 00:00:00.000 GMT,14,57,AZ.GLA,class edu.sc.seis.sod.velocity.network.VelocityStation
SOL,32.84,-117.25,245 m,45.4,13.3,29.33,AD 1996.02.09 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,83,283,AZ.SOL,class edu.sc.seis.sod.velocity.network.VelocityStation
KNW,33.71,-116.71,1507 m,51.2,10.7,20.86,AD 1982.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,169,810,AZ.KNW,class edu.sc.seis.sod.velocity.network.VelocityStation
