# CI - Caltech Regional Seismic Network
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
LGU,34.11,-119.07,381 m,17.9,2.3,12.74,AD 1999.06.13 00:00:00.000 GMT,AD 2004.04.22 02:07:00.000 GMT,99,777,Laguna Peak California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
PAS,34.15,-118.17,0.3 km,42.0,6.8,16.26,AD 1987.11.30 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,161,990,Pasadena CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MPP,34.89,-119.81,1.7 km,129.6,26.2,20.25,AD 2000.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,16,79,McPhearson Peak,class edu.sc.seis.sod.velocity.network.VelocityStation
FMP,33.71,-118.29,0.1 km,210.6,43.0,20.41,AD 2000.08.30 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,10,49,Fort MacArthur Park Pt. Fermin San Pedro CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SLA,35.89,-117.28,1174 m,16.1,3.2,19.93,AD 1999.02.09 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,166,833,SLA Trona CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BC3,33.66,-115.45,1.1 km,74.0,35.0,47.25,AD 1997.09.20 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,43,91,Big Chuckawalla Mtns Desert Center CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BBR,34.26,-116.92,2.1 km,77.9,26.6,34.15,AD 2000.06.14 22:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,28,82,Big Bear Solar Observatory,class edu.sc.seis.sod.velocity.network.VelocityStation
CWC,36.44,-118.08,1553 m,32.4,4.3,13.24,AD 1995.03.20 00:00:00.000 GMT,AD 2004.07.12 02:47:00.000 GMT,105,793,Cottonwood Creek California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BAK,35.34,-119.10,116 m,363.1,4.0,1.11,AD 1999.06.21 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,7,628,BAK Bakersfield CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
CIA,33.40,-118.42,428 m,15.2,2.4,15.86,AD 1998.09.10 00:00:00.000 GMT,AD 2004.04.12 04:31:00.000 GMT,134,845,Catalina Island Airport California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
