# II - Global Seismograph Network (GSN - IRIS/IDA)
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
KURK,50.72,78.62,184 m,8.8,6.0,68.27,AD 1995.03.26 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,467,684,Kurchatov Kazakhstan,class edu.sc.seis.sod.velocity.network.VelocityStation
ERM,42.01,143.16,40 m,54.3,9.4,17.36,AD 1990.05.21 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,108,622,Erimo Hokkaido Island Japan,class edu.sc.seis.sod.velocity.network.VelocityStation
SUR,-32.38,20.81,1770 m,178.1,25.8,14.48,AD 1990.10.30 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,32,221,Sutherland South Africa,class edu.sc.seis.sod.velocity.network.VelocityStation
BFO,48.33,8.33,589 m,29.3,11.7,39.94,AD 1996.05.29 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,125,313,Black Forest Observatory Schiltach Germany,class edu.sc.seis.sod.velocity.network.VelocityStation
HOPE,-54.28,-36.49,20 m,315.0,50.2,15.94,AD 1996.12.10 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,11,69,Hope Point South Georgia Island,class edu.sc.seis.sod.velocity.network.VelocityStation
ABKT,37.93,58.12,678 m,14.3,10.3,72.10,AD 1993.04.25 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,336,466,Alibek Turkmenistan,class edu.sc.seis.sod.velocity.network.VelocityStation
ALE,82.50,-62.35,60 m,19.0,10.0,52.95,AD 1990.02.19 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,314,593,Alert N.W.T. Canada,class edu.sc.seis.sod.velocity.network.VelocityStation
ARU,56.43,58.56,250 m,14.1,7.1,50.66,AD 1988.09.14 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,460,908,Arti Russia,class edu.sc.seis.sod.velocity.network.VelocityStation
MSVF,-17.73,178.05,783 m,?,29.1,.00,AD 1994.05.24 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,151,Monasavu Fiji,class edu.sc.seis.sod.velocity.network.VelocityStation
CMLA,37.76,-25.52,429 m,623.3,63.4,10.17,AD 1996.03.10 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,6,59,Cha de Macela Sao Miguel Island Azores,class edu.sc.seis.sod.velocity.network.VelocityStation
