# TS - TERRAscope (Southern California Seismic Network)
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
NEE,34.82,-114.60,139 m,52.0,13.0,25.00,AD 1993.04.16 00:00:00.000 GMT,AD 1997.02.19 02:37:00.000 GMT,27,108,Needles California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
PAS,34.15,-118.17,295 m,34.7,11.6,33.28,AD 1988.04.04 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,191,574,Pasadena California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
RPV,33.74,-118.40,115 m,32.5,9.9,30.39,AD 1993.05.10 00:00:00.000 GMT,AD 1996.02.10 19:33:00.000 GMT,31,102,Rancho Palos Verde California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SBC,34.44,-119.71,90 m,102.3,16.1,15.75,AD 1990.12.20 00:00:00.000 GMT,AD 1997.05.30 21:07:00.000 GMT,23,146,Santa Barbara California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
OSI,34.61,-118.72,706 m,230.6,27.7,12.00,AD 1995.06.28 00:00:00.000 GMT,AD 1997.05.19 20:34:00.000 GMT,3,25,Osito Adit California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BAR,32.68,-116.67,548 m,22.6,6.4,28.10,AD 1993.06.16 00:00:00.000 GMT,AD 1997.02.10 14:15:00.000 GMT,59,210,Barrett Dam California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
PFO,33.61,-116.46,1280 m,37.1,16.3,43.93,AD 1990.10.31 00:00:00.000 GMT,AD 1998.07.22 18:27:00.000 GMT,76,173,Pinon Flat California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
CALB,34.14,-118.63,0.0 m,53.1,8.6,16.11,AD 1994.01.11 00:00:00.000 GMT,AD 1997.07.09 00:02:00.000 GMT,24,149,Calabasas California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
GSC,35.30,-116.81,990 m,18.8,7.4,39.14,AD 1990.07.20 00:00:00.000 GMT,AD 1997.08.09 22:49:00.000 GMT,137,350,Goldston California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MLAC,37.63,-118.83,2170 m,183.4,5.6,3.05,AD 1993.05.07 00:00:00.000 GMT,AD 1997.11.12 18:16:00.000 GMT,9,295,Mammoth Lakes California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
ISA,35.66,-118.47,835 m,19.3,6.8,35.29,AD 1991.02.07 00:00:00.000 GMT,AD 1997.02.15 19:57:00.000 GMT,114,323,Isabella California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
GPO,35.65,-117.66,735 m,138.6,17.3,12.50,AD 1996.01.17 00:00:00.000 GMT,AD 1997.07.24 05:26:00.000 GMT,4,32,China Lake  California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SMTC,32.95,-115.72,-50.0 m,273.0,18.8,6.90,AD 1993.05.06 00:00:00.000 GMT,AD 1996.05.02 00:00:00.000 GMT,4,58,Superstition Mountain California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
CWC,36.44,-118.08,1553 m,41.3,10.3,25.00,AD 1995.04.13 00:00:00.000 GMT,AD 1997.07.16 14:59:00.000 GMT,20,80,Cottonwood Creek Canyon California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SVD,34.10,-117.10,600 m,88.1,33.5,38.00,AD 1991.05.22 00:00:00.000 GMT,AD 1995.12.20 16:43:00.000 GMT,19,50,Seven Oaks Dam California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
USC,34.02,-118.29,60 m,765.5,39.3,5.13,AD 1993.03.31 00:00:00.000 GMT,AD 1997.06.08 23:00:00.000 GMT,2,39,USC Los Angeles California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
DGR,33.65,-117.01,700 m,15.1,6.5,43.21,AD 1993.06.22 00:00:00.000 GMT,AD 1997.10.21 23:16:00.000 GMT,105,243,Domenigoni Valley Reservior California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
GLA,33.05,-114.83,627 m,20.4,9.3,45.80,AD 1994.06.04 00:00:00.000 GMT,AD 1997.10.07 01:43:00.000 GMT,60,131,Glamis California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SNCC,33.25,-119.52,227 m,61.6,15.8,25.68,AD 1994.05.03 00:00:00.000 GMT,AD 1997.07.15 20:12:00.000 GMT,19,74,San Nicolas Island California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
VTV,34.57,-117.33,847 m,38.4,7.9,20.71,AD 1993.04.16 00:00:00.000 GMT,AD 1997.08.05 17:39:00.000 GMT,41,198,Victorville California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
