# US - United States National Seismic Network
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
DGMT,48.47,-104.20,0.0 m,230.2,9.6,4.17,AD 2004.07.15 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,3,72,Dagmar Montana USA,class edu.sc.seis.sod.velocity.network.VelocityStation
EGMT,48.02,-109.75,1.1 km,?,66.9,.00,AD 2005.11.17 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,3,Eagleton Montana USA,class edu.sc.seis.sod.velocity.network.VelocityStation
HLID,43.56,-114.41,1772 m,24.0,8.8,36.50,AD 1998.08.10 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,119,326,Hailey Idaho USA,class edu.sc.seis.sod.velocity.network.VelocityStation
JCT,30.48,-99.80,591 m,25.2,9.6,38.02,AD 2000.02.03 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,92,242,Junction Texas USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MSO,46.83,-113.94,1.3 km,32.2,8.2,25.44,AD 2002.08.23 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,43,169,Missoula Montana USA,class edu.sc.seis.sod.velocity.network.VelocityStation
LTX,29.33,-103.67,1.0 km,76.1,21.7,28.57,AD 1993.02.04 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,64,224,Lajitas Texas USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MNV,38.43,-118.15,1524 m,70.9,17.4,24.58,AD 1994.12.22 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,59,240,Mina Nevada USA,class edu.sc.seis.sod.velocity.network.VelocityStation
NHSC,33.11,-80.18,0.0 km,103.5,32.8,31.67,AD 2001.01.17 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,19,60,New Hope South Carolina USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SDCO,37.75,-105.50,2569 m,1425.7,7.2,.50,AD 2002.07.11 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,1,199,Great Sand Dunes National Park Colorado USA,class edu.sc.seis.sod.velocity.network.VelocityStation
DWPF,28.11,-81.43,-142.0 m,884.6,189.6,21.43,AD 1999.03.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,3,14,Disney Wilderness Preserve Florida USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BMO,44.85,-117.31,1189 m,111.9,28.0,25.00,AD 2004.11.23 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,5,20,Blue Mountains Array (Baker) Oregon USA,class edu.sc.seis.sod.velocity.network.VelocityStation
SAO,36.76,-121.44,350 m,692.1,42.5,6.14,AD 1993.03.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,7,114,San Andreas Geological Observatory San Benito County Calif,class edu.sc.seis.sod.velocity.network.VelocityStation
OXF,34.51,-89.41,101 m,110.6,20.8,18.83,AD 1993.09.17 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,42,223,Oxford Mississippi USA,class edu.sc.seis.sod.velocity.network.VelocityStation
LKWY,44.57,-110.40,2424 m,353.7,22.2,6.29,AD 1995.10.11 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,11,175,Lake (Yellowstone--Lake) Wyoming USA,class edu.sc.seis.sod.velocity.network.VelocityStation
BLA,37.21,-80.42,634 m,103.9,39.7,38.18,AD 1994.06.24 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,42,110,Blacksburg Virginia USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MNTX,31.70,-105.38,404 m,56.8,16.6,29.17,AD 2004.04.01 06:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,14,48,Cornudas Mountains Texas USA,class edu.sc.seis.sod.velocity.network.VelocityStation
CMB,38.03,-120.39,719 m,68.7,18.2,26.45,AD 1992.09.10 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,73,276,Columbia College California USA,class edu.sc.seis.sod.velocity.network.VelocityStation
MCWV,39.66,-79.85,280 m,132.1,42.0,31.82,AD 1991.03.28 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,42,132,Mont Chateau West Virginia USA,class edu.sc.seis.sod.velocity.network.VelocityStation
LSCT,41.68,-73.22,318 m,4686.7,156.2,3.33,AD 1993.08.06 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,1,30,Lakeside Connecticut USA,class edu.sc.seis.sod.velocity.network.VelocityStation
