# UW - Pacific Northwest Regional Seismic Network
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
LTY,47.26,-120.66,970 m,533.3,96.0,18.00,AD 1993.04.15 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,9,50,Liberty (broad-band),class edu.sc.seis.sod.velocity.network.VelocityStation
HEBO,45.21,-123.75,875 m,213.6,48.8,22.86,AD 2001.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,8,35,Mt. Hebo OR CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
PIN,43.81,-120.87,1860 m,?,1120.7,.00,AD 1991.02.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,5,Pine Mt. Oregon  (U0 broad-band,class edu.sc.seis.sod.velocity.network.VelocityStation
OPC,48.10,-123.41,90 m,1861.7,40.5,2.17,AD 2001.05.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,1,46,Olympic Penn College CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
LON,46.75,-121.81,850 m,209.8,68.9,32.86,AD 1980.01.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,46,140,Longmire (broad-band and DWWSSN),class edu.sc.seis.sod.velocity.network.VelocityStation
SQM,48.08,-123.05,30 m,?,101.7,.00,AD 2000.08.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,21,PNNL - Sequim WA (CREST BB SMO),class edu.sc.seis.sod.velocity.network.VelocityStation
MEGW,46.27,-123.88,332 m,569.6,53.4,9.38,AD 2001.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,3,32,Megler WA CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
HOOD,45.32,-121.65,1520 m,57.1,21.9,38.33,AD 2002.11.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,23,60,Mt Hood Meadows OR CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
SSW,46.97,-123.43,120 m,797.3,140.7,17.65,AD 1993.05.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,6,34,Satsop (broad-band),class edu.sc.seis.sod.velocity.network.VelocityStation
DBO,43.12,-123.24,980 m,?,2893.9,.00,AD 1990.08.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,2,Dodson Butte Oregon,class edu.sc.seis.sod.velocity.network.VelocityStation
OFR,47.93,-124.40,0.2 km,1950.4,102.7,5.26,AD 1995.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,2,38,Olympics Forest Resource Center CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
TOLO,44.62,-123.92,21 m,1708.7,74.3,4.35,AD 2001.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,1,23,Toledo BPA OR CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
GNW,47.56,-122.83,160 m,242.0,38.5,15.89,AD 1995.03.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,17,107,Green Mountain (BB),class edu.sc.seis.sod.velocity.network.VelocityStation
TAKO,43.74,-124.08,46 m,284.8,48.8,17.14,AD 2001.10.01 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,6,35,Tahkenitch OR CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
RWW,46.96,-123.54,15 m,?,2021.9,.00,AD 1995.05.11 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,2,Ranney Well CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
TTW,47.69,-121.69,542 m,112.8,25.5,22.58,AD 1993.06.18 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,42,186,Tolt Res WA CREST BB SMO,class edu.sc.seis.sod.velocity.network.VelocityStation
