# XJ97 - Sierran Paradox 
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
SLC,36.52,-117.72,1918 m,35.4,17.7,50.00,AD 1997.07.07 20:45:22.000 GMT,AD 1997.12.31 23:59:59.000 GMT,5,10,San Lucas Canyon,class edu.sc.seis.sod.velocity.network.VelocityStation
WHP,36.59,-118.22,2388 m,52.5,21.0,40.00,AD 1997.06.05 00:54:24.000 GMT,AD 1997.12.31 23:59:59.000 GMT,4,10,Whitney Portal,class edu.sc.seis.sod.velocity.network.VelocityStation
ARC2,36.01,-118.33,2597 m,?,16.3,.00,AD 1997.06.02 22:31:09.000 GMT,AD 1997.12.31 23:59:59.000 GMT,0,13,Arch 2,class edu.sc.seis.sod.velocity.network.VelocityStation
BVC,36.73,-117.86,483 m,39.6,16.5,41.67,AD 1997.06.16 20:12:36.000 GMT,AD 1997.12.31 23:59:59.000 GMT,5,12,Beveridge Canyon,class edu.sc.seis.sod.velocity.network.VelocityStation
CCC,36.58,-118.79,1560 m,106.6,26.6,25.00,AD 1997.06.01 21:20:37.000 GMT,AD 1997.12.31 23:59:59.000 GMT,2,8,CCC Camp-Crystal Cave Rd,class edu.sc.seis.sod.velocity.network.VelocityStation
SMD,36.97,-118.63,1807 m,17.7,10.3,57.89,AD 1997.06.19 18:30:41.000 GMT,AD 1997.12.31 23:59:59.000 GMT,11,19,Simpson Meadow,class edu.sc.seis.sod.velocity.network.VelocityStation
FLL,37.28,-118.97,2237 m,20.3,9.7,47.62,AD 1997.06.11 23:54:56.000 GMT,AD 1997.12.31 23:59:59.000 GMT,10,21,Florence Lake,class edu.sc.seis.sod.velocity.network.VelocityStation
HVY,36.70,-119.32,193 m,30.9,8.0,25.93,AD 1997.05.29 19:55:52.000 GMT,AD 1997.12.31 23:59:59.000 GMT,7,27,Hills Valley,class edu.sc.seis.sod.velocity.network.VelocityStation
BPC,37.13,-118.43,2370 m,26.3,9.6,36.36,AD 1997.06.04 17:20:28.000 GMT,AD 1997.12.31 23:59:59.000 GMT,8,22,Big Pine Canyon,class edu.sc.seis.sod.velocity.network.VelocityStation
MKW3,36.45,-118.61,2358 m,?,53.7,.00,AD 1997.05.31 00:00:42.000 GMT,AD 1997.12.31 23:59:59.000 GMT,0,4,Mineral King W3,class edu.sc.seis.sod.velocity.network.VelocityStation
SRF,36.94,-118.11,2148 m,42.0,11.1,26.32,AD 1997.06.04 18:25:40.000 GMT,AD 1997.12.31 23:59:59.000 GMT,5,19,Santa Rita Flat,class edu.sc.seis.sod.velocity.network.VelocityStation
LMC,36.36,-119.03,211 m,30.9,7.7,25.00,AD 1997.05.29 23:37:53.000 GMT,AD 1997.12.31 23:59:59.000 GMT,7,28,Lemon Cove (Rocky Hill Ranch),class edu.sc.seis.sod.velocity.network.VelocityStation
BRR,36.91,-119.04,1259 m,16.6,8.3,50.00,AD 1997.07.01 21:47:11.000 GMT,AD 1997.12.31 23:59:59.000 GMT,11,22,Blackrock Reservior,class edu.sc.seis.sod.velocity.network.VelocityStation
SFK,36.37,-118.81,812 m,63.4,8.3,13.04,AD 1997.06.24 18:30:15.000 GMT,AD 1997.12.31 23:59:59.000 GMT,3,23,South Fork Kaweah River,class edu.sc.seis.sod.velocity.network.VelocityStation
CPR,36.80,-118.58,1603 m,43.0,12.6,29.41,AD 1997.05.31 00:17:51.000 GMT,AD 1997.12.31 23:59:59.000 GMT,5,17,Copper Creek,class edu.sc.seis.sod.velocity.network.VelocityStation
JUN,36.58,-118.41,2471 m,32.5,13.0,40.00,AD 1997.06.20 00:10:04.000 GMT,AD 1997.12.31 23:59:59.000 GMT,6,15,Junction Meadow (Kern),class edu.sc.seis.sod.velocity.network.VelocityStation
SFT,36.23,-118.06,1753 m,42.0,26.3,62.50,AD 1997.06.04 23:36:31.000 GMT,AD 1997.12.31 23:59:59.000 GMT,5,8,Sage Flat,class edu.sc.seis.sod.velocity.network.VelocityStation
DP00,36.26,-117.66,1725 m,15.3,8.6,56.52,AD 1997.06.16 02:36:21.000 GMT,AD 1997.12.31 23:59:59.000 GMT,13,23,Darwin Plateau,class edu.sc.seis.sod.velocity.network.VelocityStation
CHP,35.89,-118.09,2426 m,49.8,24.9,50.00,AD 1997.06.15 22:11:57.000 GMT,AD 1997.12.31 23:59:59.000 GMT,4,8,Chimney Peak,class edu.sc.seis.sod.velocity.network.VelocityStation
BGR,36.63,-119.02,954 m,19.5,8.6,44.00,AD 1997.05.31 22:26:59.000 GMT,AD 1997.12.31 23:59:59.000 GMT,11,25,Badger,class edu.sc.seis.sod.velocity.network.VelocityStation
PDC,36.03,-118.98,167 m,20.4,8.2,40.00,AD 1997.06.10 19:44:48.000 GMT,AD 1997.12.31 23:59:59.000 GMT,10,25,Porterville Developmental Center,class edu.sc.seis.sod.velocity.network.VelocityStation
TWR2,36.35,-118.41,1946 m,64.3,12.9,20.00,AD 1997.06.22 00:13:58.000 GMT,AD 1997.12.31 23:59:59.000 GMT,3,15,Tower Rock 2,class edu.sc.seis.sod.velocity.network.VelocityStation
WMD,36.20,-118.58,2592 m,17.7,11.8,66.67,AD 1997.06.02 23:57:13.000 GMT,AD 1997.12.31 23:59:59.000 GMT,12,18,White Meadow,class edu.sc.seis.sod.velocity.network.VelocityStation
OVY,36.78,-118.33,2704 m,70.3,17.6,25.00,AD 1997.06.04 00:41:06.000 GMT,AD 1997.12.31 23:59:59.000 GMT,3,12,Onion Valley,class edu.sc.seis.sod.velocity.network.VelocityStation
