# XN00 - RPI-UW Parkfield Calibration Array
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
POLE,36.01,-120.57,596 m,478.0,159.3,33.33,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,3,XN.POLE,class edu.sc.seis.sod.velocity.network.VelocityStation
RCKY,35.96,-120.61,703 m,159.3,59.8,37.50,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,3,8,XN.RCKY,class edu.sc.seis.sod.velocity.network.VelocityStation
PINE,35.97,-120.52,856 m,478.0,478.0,100.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,1,XN.PINE,class edu.sc.seis.sod.velocity.network.VelocityStation
AHAB,35.98,-120.54,760 m,478.0,239.0,50.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,2,XN.AHAB,class edu.sc.seis.sod.velocity.network.VelocityStation
GULY,35.95,-120.51,732 m,478.0,159.3,33.33,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,3,XN.GULY,class edu.sc.seis.sod.velocity.network.VelocityStation
DBLT,35.96,-120.58,744 m,159.3,68.3,42.86,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,3,7,XN.DBLT,class edu.sc.seis.sod.velocity.network.VelocityStation
FLIP,35.97,-120.53,783 m,478.0,239.0,50.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,2,XN.FLIP,class edu.sc.seis.sod.velocity.network.VelocityStation
BECH,35.95,-120.55,658 m,478.0,159.3,33.33,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,3,XN.BECH,class edu.sc.seis.sod.velocity.network.VelocityStation
HIDE,35.97,-120.55,667 m,478.0,119.5,25.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,4,XN.HIDE,class edu.sc.seis.sod.velocity.network.VelocityStation
MOH9,35.97,-120.57,672 m,119.5,68.3,57.14,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,4,7,XN.MOH9,class edu.sc.seis.sod.velocity.network.VelocityStation
MRED,35.96,-120.48,608 m,?,159.3,.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,0,3,XN.MRED,class edu.sc.seis.sod.velocity.network.VelocityStation
GOBI,35.94,-120.54,700 m,159.3,68.3,42.86,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,3,7,XN.GOBI,class edu.sc.seis.sod.velocity.network.VelocityStation
ISKK,36.00,-120.50,1033 m,478.0,239.0,50.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,2,XN.ISKK,class edu.sc.seis.sod.velocity.network.VelocityStation
CRAK,35.96,-120.52,717 m,?,239.0,.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,0,2,XN.CRAK,class edu.sc.seis.sod.velocity.network.VelocityStation
KOOL,36.00,-120.55,831 m,478.0,478.0,100.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,1,XN.KOOL,class edu.sc.seis.sod.velocity.network.VelocityStation
PIES,36.00,-120.56,677 m,478.0,239.0,50.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,2,XN.PIES,class edu.sc.seis.sod.velocity.network.VelocityStation
PIGH,35.96,-120.57,718 m,478.0,119.5,25.00,AD 2001.06.24 00:00:00.000 GMT,AD 2002.10.15 00:00:00.000 GMT,1,4,XN.PIGH,class edu.sc.seis.sod.velocity.network.VelocityStation
