#Stations within latitude (30.0, 50.0) and longitude (-126.0, -114.0)
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
AZ,LVA2,33.35,-116.56,1435 m,30.75 km,0.395 km,1.66,0.042,6.264 km/s,3.773 km/s,0.22,90,0.438
TA,M02C,41.39,-122.85,0.0 m,44.75 km,7.321 km,1.69,0.112,6.566 km/s,3.897 km/s,0.23,7,0.600
XF94,LGNA,32.84,-116.41,5667 m,30.25 km,5.349 km,1.84,0.064,6.264 km/s,3.409 km/s,0.29,5,0.360
TA,M06C,41.21,-120.48,1434 m,39.75 km,2.252 km,1.80,0.038,6.566 km/s,3.658 km/s,0.27,12,0.672
CI,DGR,33.65,-117.01,650 m,33.25 km,0.109 km,1.78,0.005,6.264 km/s,3.519 km/s,0.27,254,0.303
UW,LON,46.75,-121.81,850 m,51.75 km,11.024 km,1.61,0.173,6.597 km/s,4.104 km/s,0.18,46,0.875
XC94,STIL,47.70,-121.91,116 m,49.5 km,9.649 km,2.09,0.164,6.597 km/s,3.153 km/s,0.35,5,0.571
CI,BAR,32.68,-116.67,521 m,40.0 km,3.215 km,1.76,0.087,6.264 km/s,3.554 km/s,0.26,196,0.776
XC94,DOSE,47.71,-122.93,158 m,48.0 km,3.694 km,1.60,0.053,6.566 km/s,4.104 km/s,0.18,5,0.781
CI,SLA,35.89,-117.28,1174 m,28.75 km,0.131 km,1.80,0.007,6.276 km/s,3.496 km/s,0.27,190,0.151
CI,SCI2,32.98,-118.55,199 m,23.0 km,11.784 km,1.65,0.154,6.048 km/s,3.66 km/s,0.21,7,0.652
CI,TOV,34.16,-118.82,50 m,25.0 km,5.595 km,1.82,0.092,6.1 km/s,3.347 km/s,0.28,111,0.737
TS,CWC,36.44,-118.08,1553 m,38.0 km,0.475 km,1.98,0.122,6.291 km/s,3.185 km/s,0.33,19,0.572
TS,PAS,34.15,-118.17,295 m,26.0 km,4.377 km,1.79,0.072,6.1 km/s,3.417 km/s,0.27,176,0.564
TA,E05A,46.56,-121.76,0.5 km,32.75 km,6.499 km,1.99,0.110,6.597 km/s,3.319 km/s,0.33,2,0.864
TA,R05C,38.70,-120.08,2366 m,45.0 km,0.478 km,1.70,0.022,6.597 km/s,3.881 km/s,0.24,13,0.420
TS,ISA,35.66,-118.47,835 m,42.0 km,7.227 km,1.69,0.170,6.1 km/s,3.609 km/s,0.23,114,0.743
CC,JRO,46.28,-122.22,1280 m,45.75 km,7.972 km,1.67,0.092,6.566 km/s,3.938 km/s,0.22,11,0.608
TA,HATC,40.82,-121.46,1.0 km,34.0 km,3.72 km,2.02,0.125,6.566 km/s,3.247 km/s,0.34,9,0.709
BK,JCC,40.82,-124.03,27 m,19.0 km,2.848 km,1.99,0.092,6.048 km/s,3.039 km/s,0.33,18,0.646
TA,F03A,45.93,-123.56,0.3 km,38.0 km,2.901 km,1.78,0.048,6.566 km/s,3.694 km/s,0.27,2,0.654
CI,SBC,34.44,-119.71,94 m,28.0 km,12.724 km,1.98,0.111,6.1 km/s,3.085 km/s,0.33,31,0.684
TA,LAVA,38.76,-120.74,828 m,31.0 km,9.023 km,1.64,0.081,6.597 km/s,4.011 km/s,0.21,14,0.717
XJ97,WMD,36.20,-118.58,2592 m,37.75 km,5.212 km,1.83,0.121,6.291 km/s,3.447 km/s,0.29,11,0.609
CI,PHL,35.41,-120.55,355 m,24.25 km,0.217 km,1.78,0.008,6.183 km/s,3.473 km/s,0.27,147,0.451
UW,HEBO,45.21,-123.75,875 m,36.5 km,5.21 km,1.68,0.136,6.566 km/s,3.92 km/s,0.22,8,0.726
CI,OSI,34.61,-118.72,718 m,53.75 km,7.097 km,1.94,0.148,6.1 km/s,3.14 km/s,0.32,159,0.706
XJ97,SRF,36.94,-118.11,2148 m,36.25 km,1.812 km,1.75,0.034,6.291 km/s,3.595 km/s,0.26,5,0.448
CI,RCT,36.31,-119.24,0.1 km,37.5 km,13.881 km,1.84,0.120,6.291 km/s,3.428 km/s,0.29,17,0.764
II,PFO,33.61,-116.46,1280 m,29.5 km,1.25 km,1.65,0.069,6.264 km/s,3.802 km/s,0.21,8,0.469
CI,BCC,33.58,-117.26,391 m,31.75 km,4.026 km,1.80,0.141,6.264 km/s,3.48 km/s,0.28,8,0.499
TA,P01C,39.47,-123.34,441 m,52.75 km,10.305 km,1.60,0.168,6.472 km/s,4.045 km/s,0.18,4,0.879
TA,H04A,44.68,-122.19,0.7 km,38.5 km,9.08 km,1.72,0.057,6.566 km/s,3.829 km/s,0.24,4,0.679
CC,WIFE,44.06,-121.82,1955 m,32.25 km,1.519 km,1.98,0.055,6.597 km/s,3.341 km/s,0.33,5,0.382
TS,PFO,33.61,-116.46,1280 m,29.25 km,0.202 km,1.71,0.025,6.264 km/s,3.674 km/s,0.24,76,0.392
AZ,SOL,32.84,-117.25,245 m,22.5 km,7.537 km,1.96,0.101,6.264 km/s,3.192 km/s,0.32,51,0.849
UO,DBO,43.12,-123.24,980 m,49.25 km,1.599 km,1.62,0.035,6.522 km/s,4.013 km/s,0.20,14,0.628
TS,GPO,35.65,-117.66,735 m,29.0 km,4.644 km,1.83,0.113,6.276 km/s,3.439 km/s,0.29,4,0.500
AZ,HWB,33.03,-116.96,478 m,53.5 km,9.215 km,1.60,0.142,6.264 km/s,3.915 km/s,0.18,21,0.866
TS,USC,34.02,-118.29,60 m,37.75 km,2.673 km,1.75,0.051,6.1 km/s,3.491 km/s,0.26,2,0.333
TA,I05A,44.16,-121.27,1.0 km,34.5 km,4.303 km,1.96,0.108,6.597 km/s,3.366 km/s,0.32,4,0.478
AZ,SND,33.55,-116.61,1358 m,31.25 km,1.954 km,1.78,0.037,6.264 km/s,3.514 km/s,0.27,107,0.583
TS,GLA,33.05,-114.83,627 m,27.5 km,0.308 km,1.64,0.013,6.155 km/s,3.747 km/s,0.21,58,0.242
BK,PKD,35.95,-120.54,583 m,27.0 km,0.17 km,1.89,0.014,6.183 km/s,3.267 km/s,0.31,28,0.236
TA,Q04C,38.84,-121.38,14 m,42.0 km,8.181 km,2.03,0.138,6.597 km/s,3.258 km/s,0.34,21,0.783
CI,GSC,35.30,-116.81,1000 m,25.0 km,1.67 km,1.74,0.050,6.276 km/s,3.617 km/s,0.25,154,0.841
BK,WENL,37.62,-121.76,139 m,25.0 km,10.474 km,1.78,0.105,6.391 km/s,3.595 km/s,0.27,9,0.693
CI,SMM,35.31,-120.00,0.6 km,25.0 km,9.856 km,2.10,0.182,6.1 km/s,2.908 km/s,0.35,19,0.654
XN00,GOBI,35.94,-120.54,700 m,39.0 km,9.878 km,2.02,0.135,6.183 km/s,3.068 km/s,0.34,3,0.735
CI,RPV,33.74,-118.40,64 m,19.0 km,0.561 km,2.07,0.057,6.048 km/s,2.925 km/s,0.35,107,0.533
US,WDC,40.58,-122.54,300 m,25.0 km,0.0 km,1.74,0.014,6.566 km/s,3.785 km/s,0.25,49,0.396
US,ELK,40.74,-115.24,2210 m,30.5 km,0.282 km,1.81,0.034,6.276 km/s,3.463 km/s,0.28,83,0.494
CT,ICAN,37.50,-121.33,312 m,34.25 km,0.864 km,1.68,0.050,6.391 km/s,3.804 km/s,0.23,19,0.425
CI,SVD,34.11,-117.10,574 m,32.5 km,0.219 km,1.89,0.017,6.276 km/s,3.312 km/s,0.31,95,0.443
US,CMB,38.03,-120.39,719 m,55.75 km,5.179 km,1.76,0.061,6.597 km/s,3.754 km/s,0.26,73,0.753
TA,O03C,40.00,-122.03,85 m,27.25 km,9.881 km,1.78,0.053,6.472 km/s,3.631 km/s,0.27,3,0.487
YS01,GPSS1,42.50,-123.37,800 m,40.25 km,5.554 km,1.75,0.132,6.522 km/s,3.721 km/s,0.26,3,0.654
CI,MPP,34.89,-119.81,1.7 km,27.0 km,5.163 km,1.90,0.084,6.1 km/s,3.202 km/s,0.31,20,0.458
AZ,SMER,33.46,-117.17,355 m,32.5 km,0.273 km,1.75,0.016,6.264 km/s,3.579 km/s,0.26,32,0.401
LB,TPH,38.08,-117.22,1883 m,35.0 km,0.204 km,1.77,0.009,6.276 km/s,3.541 km/s,0.27,55,0.258
XJ97,WHP,36.59,-118.22,2388 m,34.25 km,1.324 km,1.77,0.037,6.291 km/s,3.544 km/s,0.27,4,0.398
TS,VTV,34.57,-117.33,847 m,32.25 km,2.96 km,1.68,0.069,6.276 km/s,3.741 km/s,0.22,41,0.727
XJ97,SFT,36.23,-118.06,1753 m,31.75 km,7.209 km,1.85,0.108,6.291 km/s,3.401 km/s,0.29,5,0.454
XJ00,BRK,42.55,-114.96,1219 m,40.75 km,1.76 km,1.65,0.045,6.291 km/s,3.807 km/s,0.21,12,0.649
TA,M04C,41.78,-121.84,1391 m,39.0 km,7.854 km,1.77,0.103,6.566 km/s,3.715 km/s,0.26,5,0.710
CI,TIN,37.05,-118.23,1197 m,35.0 km,0.445 km,1.80,0.010,6.291 km/s,3.49 km/s,0.28,134,0.453
AZ,WMC,33.57,-116.67,1271 m,31.0 km,1.874 km,1.79,0.025,6.264 km/s,3.499 km/s,0.27,82,0.433
CI,PDM,34.30,-114.14,144 m,28.0 km,0.202 km,1.70,0.022,6.276 km/s,3.692 km/s,0.24,32,0.280
