Sta-Evt	T	Q	p	Ps-P	H (6.00)	H (6.25)	H (6.50)	Pm-Ps		Vp/Vs (6.0)	P.R.	H (6.0)	Vp/Vs (6.25)	P.R.	H (6.25)	Vp/Vs (6.5)	P.R.	H (6.5)	Vp/Vs (6.75)	P.R.	H (6.75)	
BJI-2	S?	B	0.044	5.4	43.5	45.2	46.9	10.1		2.01	0.34	31.4	2.01	0.34	32.8	2.00	0.33	34.3	2.00	0.33	35.5	
BDF -?	S	B	0.065	5.2	40.8	42.3	43.8	11.3		1.81	0.28	36.8	1.80	0.28	38.6	1.79	0.27	40.5	1.78	0.27	41.9	
FCC-1	S	B	0.044	4.45	35.8	37.3	38.7	9.9		1.85	0.29	30.8	1.85	0.29	32.2	1.84	0.29	33.6	1.84	0.29	34.8	
FFC-2	S		0.04	4.80	38.8	40.3	41.9	11.4		1.80	0.28	35.2	1.80	0.28	36.8	1.80	0.28	38.4	1.79	0.27	39.8	
KONO-1	S	B	0.04	4.2	33.9	35.3	36.7	9.2		1.87	0.30	28.4	1.87	0.30	29.7	1.87	0.30	31.0	1.86	0.30	32.1	
LMQ-1	S	B	0.059	4.75	37.6	39.0	40.4	10.75		1.80	0.28	34.5	1.79	0.27	36.1	1.78	0.27	37.8	1.77	0.27	39.1	
NWAO-5	S	C	0.078	4.8	36.8	38.1	39.4	10.3		1.77	0.27	35.0	1.76	0.26	36.9	1.74	0.25	38.8	1.72	0.25	40.0	
SCH-1	S	C-	0.054	4.6	36.6	38.1	39.5	10.4		1.81	0.28	33.0	1.81	0.28	34.5	1.80	0.28	36.1	1.79	0.27	37.4	
YKW3-1	S	C+	0.044	4.6	37.0	38.5	40.0	10.3		1.85	0.29	32.0	1.84	0.29	33.5	1.84	0.29	34.9	1.83	0.29	36.2	
CAY-?	S	B	0.08	5.00	38.2	39.5	40.8	9.3		1.88	0.30	31.8	1.87	0.30	33.6	1.85	0.29	35.4	1.83	0.29	36.5	
BNG-?	S	C+	0.048	4.90	39.3	40.8	42.4	12.3		1.74	0.26	38.5	1.74	0.25	40.3	1.74	0.25	42.1	1.73	0.25	43.6	
RSNY-3	S	B	0.055	5.99	47.6	49.5	51.3	12.5		1.88	0.30	39.7	1.87	0.30	41.6	1.86	0.30	43.5	1.86	0.30	45.0	
RSON-2	S	B	0.066	4.65	36.4	37.8	39.1	9.81		1.83	0.29	32.1	1.82	0.28	33.7	1.81	0.28	35.3	1.80	0.28	36.5	
RSNT-3	S	C+	0.049	4.90	39.3	40.8	42.3	10		1.92	0.31	31.4	1.91	0.31	32.8	1.90	0.31	34.3	1.90	0.31	35.5	
								Shield Ave=		1.84	0.29	33.6	1.84	0.29	35.2	1.83	0.29	36.9	1.82	0.28	38.1	
								Shield Med=		1.84	0.29	32.5	1.83	0.29	34.1	1.82	0.29	35.7	1.81	0.28	36.9	
								Shield SD=		0.07	0.02	3.16	0.07	0.02	3.33	0.07	0.02	2.86	0.07	0.02	2.95	
																						
KEV-15	Pal?	C	0.053	6.6	52.6	54.7	56.7	13.7		1.89	0.31	43.4	1.88	0.30	45.4	1.88	0.30	47.4	1.87	0.30	49.1	
CAN-2	Pal	B	0.075	4.7	36.3	37.6	38.8	9.8		1.81	0.28	32.9	1.79	0.27	34.7	1.78	0.27	36.5	1.76	0.26	37.6	
CBM-1	Pal	B	0.059	4.2	33.2	34.5	35.8	9.9		1.76	0.26	31.8	1.76	0.26	33.3	1.75	0.26	34.8	1.74	0.25	36.0	
CTAO-2	Pal		0.08	4.4	33.6	34.8	35.9	8.2		1.88	0.30	28.0	1.86	0.30	29.6	1.85	0.29	31.2	1.83	0.29	32.2	
ESK-1	Pal		0.04	4.1	33.1	34.5	35.8	8.9		1.88	0.30	27.5	1.88	0.30	28.7	1.87	0.30	30.0	1.87	0.30	31.1	
HGN-1	Pal	B-	0.041	4	32.3	33.6	34.9	10.3		1.74	0.25	31.9	1.74	0.25	33.3	1.73	0.25	34.7	1.73	0.25	36.0	
HRV-1	Pal	B	0.062	3.5	27.6	28.6	29.7	8.5		1.73	0.25	27.5	1.73	0.25	28.8	1.72	0.24	30.2	1.71	0.24	31.2	
LBNH-1	Pal	C	0.061	4.6	36.3	37.7	39.0	9.6		1.86	0.30	30.9	1.85	0.29	32.5	1.84	0.29	34.0	1.83	0.29	35.2	
LSCT-1	Pal	C+	0.062	3.7	29.2	30.3	31.3	7.7		1.86	0.30	24.9	1.85	0.29	26.1	1.84	0.29	27.3	1.83	0.29	28.3	
MDJ-2	Pal	C	0.048	4.4	35.3	36.7	38.1	10.8		1.76	0.26	33.8	1.76	0.26	35.4	1.75	0.26	36.9	1.75	0.26	38.3	
QIZ-2	Pal		0.047	3.6	28.9	30.0	31.2	9.8		1.69	0.23	30.6	1.68	0.23	32.0	1.68	0.23	33.4	1.68	0.22	34.7	
SSB-1	Pal	B	0.042	3.2	25.8	26.8	27.9	9.1		1.67	0.22	28.2	1.66	0.22	29.5	1.66	0.22	30.7	1.66	0.21	31.9	
SSE-2	Pal	C	0.05	3.9	31.2	32.4	33.6	9.2		1.79	0.27	28.9	1.78	0.27	30.3	1.78	0.27	31.6	1.77	0.27	32.7	
TAU-2	Pal		0.073	3.9	30.2	31.3	32.4	8.7		1.76	0.26	29.0	1.75	0.26	30.6	1.74	0.25	32.1	1.72	0.25	33.2
WMQ-2	Pal		0.04	5.7	46.1	47.9	49.7	11.4		1.96	0.32	35.2	1.95	0.32	36.8	1.95	0.32	38.4	1.94	0.32	39.8
RSCP-2	Pal	C	0.058	4.8	38.0	39.5	40.9	10.9		1.80	0.28	34.9	1.79	0.27	36.5	1.78	0.27	38.2	1.77	0.27	39.6
WFM-?	Pal	C	0.066	3.6	28.2	29.3	30.3	5.8		2.10	0.35	18.9	2.08	0.35	19.9	2.07	0.35	20.9	2.06	0.34	21.6
								Pal Ave=		1.82	0.28	30.5	1.81	0.28	32.0	1.80	0.27	33.4	1.80	0.27	34.6
								Pal Med=		1.80	0.28	30.6	1.79	0.27	32.0	1.78	0.27	33.4	1.77	0.27	34.7
								Pal SD=		0.10	0.03	5.16	0.10	0.03	5.39	0.10	0.03	5.61	0.10	0.03	5.82
																					
CEH-1	Plat		0.065	4.2	33.0	34.2	35.4	10		1.74	0.25	32.6	1.73	0.25	34.2	1.72	0.24	35.9	1.71	0.24	37.1
DPC-10	Plat?	C	0.043	3.8	30.6	31.8	33.1	9.7		1.74	0.25	30.1	1.74	0.25	31.5	1.74	0.25	32.8	1.73	0.25	34.0
KIV-6	Plat?	C+	0.054	5.8	46.2	48.0	49.8	11		1.97	0.33	34.9	1.96	0.32	36.5	1.96	0.32	38.2	1.95	0.32	39.5
WMOK-1	Plat	C	0.061	5.8	45.8	47.5	49.2	14.2		1.73	0.25	45.8	1.72	0.25	48.0	1.71	0.24	50.3	1.71	0.24	52.0
CCM-2	Plat	C	0.04	5.1	41.2	42.9	44.5	12.1		1.81	0.28	37.4	1.80	0.28	39.1	1.80	0.28	40.7	1.79	0.27	42.2
RSSD	Plat	C	0.042	6.16	49.7	51.7	53.7	14.9		1.79	0.27	46.2	1.78	0.27	48.3	1.78	0.27	50.3	1.77	0.27	52.2
OBN-6	Plat	C-/D	0.054	5.1	40.6	42.2	43.8	12.1		1.77	0.27	38.4	1.77	0.26	40.2	1.76	0.26	42.0	1.75	0.26	43.5
								Plat Ave=		1.79	0.27	37.9	1.79	0.27	39.7	1.78	0.27	41.5	1.77	0.26	42.9
								Plat Med=		1.77	0.27	37.4	1.77	0.26	39.1	1.76	0.26	40.7	1.75	0.26	42.2
								Plat SD=		0.08	0.03	6.18	0.08	0.03	6.47	0.08	0.03	6.76	0.08	0.03	7.00
																					
PMG-2	IA?	C	0.075	4.2	32.4	33.6	34.7	7.1		2.00	0.33	23.9	1.98	0.33	25.1	1.97	0.33	26.4	1.95	0.32	27.3
HNR-2	IA	C/D	0.08	3.3	25.2	26.1	27.0	7.1		1.76	0.26	24.3	1.74	0.26	25.6	1.73	0.25	27.0	1.71	0.24	27.8
NOU-2	IA	C-	0.083	4.4	33.4	34.6	35.7	6.3		2.14	0.36	21.8	2.11	0.36	23.0	2.09	0.35	24.3	2.06	0.35	25.1
OGS-2	IA	C-	0.06	5.2	41.1	42.7	44.2	9.2		2.02	0.34	29.6	2.01	0.34	31.0	2.00	0.33	32.5	1.99	0.33	33.6
								IA Ave=		1.98	0.32	24.9	1.96	0.32	26.2	1.95	0.31	27.6	1.93	0.31	28.5
								IA Med=		2.01	0.34	24.1	2.00	0.33	25.4	1.98	0.33	26.7	1.97	0.33	27.6
								IA SD=		0.16	0.04	3.32	0.16	0.04	3.40	0.15	0.05	3.47	0.15	0.05	3.64
																					
ANMO-3	MC		0.05	4.4	35.2	36.6	38.0	11.7		1.70	0.23	36.8	1.69	0.23	38.5	1.69	0.23	40.2	1.68	0.23	41.6
BAR-2	MC	C	0.048	3.4	27.3	28.3	29.4	10		1.63	0.20	31.3	1.63	0.20	32.8	1.63	0.20	34.2	1.62	0.19	35.4
BBB-1	MC	A	0.044	3.1	25.0	26.0	26.9	8.5		1.69	0.23	26.4	1.69	0.23	27.6	1.68	0.23	28.8	1.68	0.22	29.9
BKS-11	MC	C+	0.073	3	23.2	24.1	24.9	6.3		1.81	0.28	21.0	1.80	0.28	22.1	1.78	0.27	23.3	1.77	0.27	24.0
CHTO-2	MC		0.042	3.5	28.2	29.4	30.5	9.3		1.71	0.24	28.8	1.71	0.24	30.1	1.71	0.24	31.4	1.70	0.24	32.6
COL-1	MC	A	0.04	3.4	27.5	28.6	29.7	8.9		1.73	0.25	27.5	1.73	0.25	28.7	1.72	0.25	30.0	1.72	0.24	31.1
DUG-1	MC	D+	0.054	3.5	27.9	29.0	30.0	9.2		1.70	0.23	29.2	1.69	0.23	30.5	1.69	0.23	31.9	1.68	0.23	33.1
GSC-2	MC	B	0.047	3.25	26.1	27.1	28.1	7		1.87	0.30	21.9	1.87	0.30	22.9	1.86	0.30	23.9	1.86	0.30	24.8
HIA-2	MC		0.04	4.5	36.4	37.8	39.3	10.5		1.82	0.28	32.4	1.82	0.28	33.9	1.81	0.28	35.3	1.81	0.28	36.6
INU-2	MC	C-	0.055	5.3	42.2	43.8	45.4	14.7		1.66	0.21	46.7	1.65	0.21	48.9	1.65	0.21	51.2	1.64	0.20	52.9
