 0 0 0 EARS 0 0 0 0 0 ZhuS.Cal. 0 0 0 0 
Net Station Name Lat Lon Est.Thick StdDev Est.Vp/Vs StdDev AssumedVp Vs PoissonsRatio NumEQ Thick Vp/Vs Vp Vs PoissonsRatio 
XF94 ALPN ZhuS.Cal. 32.87 -116.75 35.0 1.006 1.80 0.04 6.264 3.489 0.27 5 35 1.84 6.3 3.424 0.29 
AZ ASBS ZhuS.Cal. 33.62 -116.47 29.25 0.476 1.77 0.04 6.264 3.544 0.26 26 29 1.78 6.3 3.539 0.27 
CI BAR ZhuS.Cal. 32.68 -116.67 35.25 2.705 1.92 0.08 6.264 3.258 0.31 134 34 1.86 6.3 3.387 0.30 
CI BC3 ZhuS.Cal. 33.66 -115.45 24.25 0.258 1.78 0.03 6.155 3.462 0.27 27 25 1.84 6.3 3.424 0.29 
XF94 BLSY ZhuS.Cal. 32.91 -116.88 31.0 8.312 1.87 0.13 6.264 3.359 0.30 7 36 1.82 6.3 3.462 0.28 
XF94 BWLW ZhuS.Cal. 32.84 -116.23 65.5 15.376 1.88 0.19 6.264 3.341 0.30 3 25 1.81 6.3 3.481 0.28 
AZ BZN ZhuS.Cal. 33.49 -116.67 31.0 0.232 1.72 0.01 6.264 3.652 0.24 81 30 1.80 6.3 3.5 0.28 
CI CIA ZhuS.Cal. 33.40 -118.42 24.75 1.513 1.60 0.07 6.048 3.78 0.18 67 22 1.78 6.3 3.539 0.27 
AZ CRY ZhuS.Cal. 33.57 -116.74 31.75 0.091 1.78 0.01 6.264 3.514 0.27 124 32 1.81 6.3 3.481 0.28 
CI CWC ZhuS.Cal. 36.44 -118.08 39.5 2.624 1.63 0.08 6.291 3.866 0.20 57 30 1.83 6.3 3.443 0.29 
CI DAN ZhuS.Cal. 34.64 -115.38 28.25 0.112 1.67 0.01 6.276 3.764 0.22 97 28 1.70 6.3 3.706 0.24 
CI DGR ZhuS.Cal. 33.65 -117.01 33.25 0.15 1.78 0.01 6.264 3.524 0.27 124 33 1.80 6.3 3.5 0.28 
