    EARS      MOMA     
Net Station Name Lat Lon Est.Thick StdDev Est.Vp/Vs StdDev AssumedVp Vs PoissonsRatio NumEQ Thick Vp/Vs Vp Vs PoissonsRatio 
IU CCM MOMA 38.06 -91.24 45.25 0.113 1.79 0.01 6.498 3.64 0.27 221 41 1.84 6.6 3.587 0.29 
IU CCM MOMA 38.06 -91.24 45.25 0.113 1.79 0.01 6.498 3.64 0.27 221 43 1.80 6.6 3.667 0.28 
IU CCM MOMA 38.06 -91.24 45.25 0.113 1.79 0.01 6.498 3.64 0.27 221 45 1.73 6.5 3.757 0.25 
IU HRV MOMA 42.51 -71.56 30.5 0.209 1.71 0.01 6.419 3.765 0.24 41 29 1.80 6.6 3.667 0.28 
IU HRV MOMA 42.51 -71.56 30.5 0.209 1.71 0.01 6.419 3.765 0.24 41 30 1.73 6.5 3.757 0.25 
XA95 MM18 MOMA 38.53 -90.57 34.75 7.735 1.81 0.09 6.498 3.59 0.28 16 44 1.84 6.6 3.587 0.29 
XA95 MM18 MOMA 38.53 -90.57 34.75 7.735 1.81 0.09 6.498 3.59 0.28 16 45 1.80 6.6 3.667 0.28 
XA95 MM18 MOMA 38.53 -90.57 34.75 7.735 1.81 0.09 6.498 3.59 0.28 16 47 1.73 6.5 3.757 0.25 
XA95 MM17 MOMA 38.67 -89.33 60.5 6.838 1.69 0.12 6.444 3.824 0.23 21 41 1.84 6.6 3.587 0.29 
XA95 MM17 MOMA 38.67 -89.33 60.5 6.838 1.69 0.12 6.444 3.824 0.23 21 43 1.80 6.6 3.667 0.28 
XA95 MM17 MOMA 38.67 -89.33 60.5 6.838 1.69 0.12 6.444 3.824 0.23 21 46 1.73 6.5 3.757 0.25 
XA95 MM16 MOMA 38.92 -88.30 47.75 8.517 1.77 0.07 6.444 3.646 0.26 19 38 1.84 6.6 3.587 0.29 
XA95 MM16 MOMA 38.92 -88.30 47.75 8.517 1.77 0.07 6.444 3.646 0.26 19 40 1.80 6.6 3.667 0.28 
XA95 MM16 MOMA 38.92 -88.30 47.75 8.517 1.77 0.07 6.444 3.646 0.26 19 43 1.73 6.5 3.757 0.25 
XA95 MM14 MOMA 39.55 -86.39 45.0 2.913 1.85 0.08 6.444 3.488 0.29 9 43 1.84 6.6 3.587 0.29 
XA95 MM14 MOMA 39.55 -86.39 45.0 2.913 1.85 0.08 6.444 3.488 0.29 9 44 1.80 6.6 3.667 0.28 
XA95 MM14 MOMA 39.55 -86.39 45.0 2.913 1.85 0.08 6.444 3.488 0.29 9 47 1.73 6.5 3.757 0.25 
XA95 MM13 MOMA 39.83 -85.31 30.75 5.289 2.06 0.12 6.498 3.154 0.35 12 37 1.84 6.6 3.587 0.29 
XA95 MM13 MOMA 39.83 -85.31 30.75 5.289 2.06 0.12 6.498 3.154 0.35 12 38 1.80 6.6 3.667 0.28 
XA95 MM13 MOMA 39.83 -85.31 30.75 5.289 2.06 0.12 6.498 3.154 0.35 12 40 1.73 6.5 3.757 0.25 
XA95 MM12 MOMA 40.04 -84.37 39.25 1.206 1.82 0.03 6.498 3.58 0.28 18 38 1.84 6.6 3.587 0.29 
XA95 MM12 MOMA 40.04 -84.37 39.25 1.206 1.82 0.03 6.498 3.58 0.28 18 40 1.80 6.6 3.667 0.28 
XA95 MM12 MOMA 40.04 -84.37 39.25 1.206 1.82 0.03 6.498 3.58 0.28 18 42 1.73 6.5 3.757 0.25 
XA95 MM10 MOMA 40.61 -82.30 42.0 0.192 1.79 0.01 6.498 3.64 0.27 19 38 1.84 6.6 3.587 0.29 
XA95 MM10 MOMA 40.61 -82.30 42.0 0.192 1.79 0.01 6.498 3.64 0.27 19 40 1.80 6.6 3.667 0.28 
XA95 MM10 MOMA 40.61 -82.30 42.0 0.192 1.79 0.01 6.498 3.64 0.27 19 42 1.73 6.5 3.757 0.25 
XA95 MM09 MOMA 40.79 -81.21 47.5 2.249 1.76 0.03 6.483 3.689 0.26 19 47 1.80 6.6 3.667 0.28 
XA95 MM09 MOMA 40.79 -81.21 47.5 2.249 1.76 0.03 6.483 3.689 0.26 19 49 1.73 6.5 3.757 0.25 
XA95 MM08 MOMA 41.11 -80.07 50.0 0.343 1.74 0.01 6.483 3.736 0.25 28 47 1.80 6.6 3.667 0.28 
XA95 MM08 MOMA 41.11 -80.07 50.0 0.343 1.74 0.01 6.483 3.736 0.25 28 49 1.73 6.5 3.757 0.25 
XA95 MM07 MOMA 41.26 -79.14 44.25 2.324 1.79 0.05 6.121 3.429 0.27 26 45 1.80 6.6 3.667 0.28 
XA95 MM07 MOMA 41.26 -79.14 44.25 2.324 1.79 0.05 6.121 3.429 0.27 26 47 1.73 6.5 3.757 0.25 
XA95 MM06 MOMA 41.39 -78.13 42.0 0.299 1.81 0.01 6.121 3.381 0.28 19 43 1.80 6.6 3.667 0.28 
XA95 MM06 MOMA 41.39 -78.13 42.0 0.299 1.81 0.01 6.121 3.381 0.28 19 44 1.73 6.5 3.757 0.25 
XA95 MM05 MOMA 41.65 -76.92 39.5 3.01 1.85 0.06 6.121 3.304 0.29 25 43 1.80 6.6 3.667 0.28 
XA95 MM05 MOMA 41.65 -76.92 39.5 3.01 1.85 0.06 6.121 3.304 0.29 25 45 1.73 6.5 3.757 0.25 
XA95 MM04 MOMA 41.85 -76.20 39.0 1.576 2.02 0.11 6.121 3.026 0.34 22 46 1.80 6.6 3.667 0.28 
XA95 MM04 MOMA 41.85 -76.20 39.0 1.576 2.02 0.11 6.121 3.026 0.34 22 48 1.73 6.5 3.757 0.25 
XA95 MM03 MOMA 42.04 -74.85 39.5 4.496 1.82 0.08 6.419 3.537 0.28 24 40 1.80 6.6 3.667 0.28 
XA95 MM03 MOMA 42.04 -74.85 39.5 4.496 1.82 0.08 6.419 3.537 0.28 24 41 1.73 6.5 3.757 0.25 
XA95 MM02 MOMA 42.17 -73.72 40.5 2.27 1.79 0.04 6.419 3.581 0.27 27 40 1.80 6.6 3.667 0.28 
XA95 MM02 MOMA 42.17 -73.72 40.5 2.27 1.79 0.04 6.419 3.581 0.27 27 41 1.73 6.5 3.757 0.25 
XA95 MM01 MOMA 42.32 -72.71 34.0 5.979 1.68 0.16 6.419 3.815 0.23 14 44 1.80 6.6 3.667 0.28 
XA95 MM01 MOMA 42.32 -72.71 34.0 5.979 1.68 0.16 6.419 3.815 0.23 14 45 1.73 6.5 3.757 0.25 
