    EARS      Wilson     
Net Station Name Lat Lon Est.Thick StdDev Est.Vp/Vs StdDev AssumedVp Vs PoissonsRatio NumEQ Thick Vp/Vs Vp Vs PoissonsRatio 
XM99 TX01 Wilson 31.42 -103.11 41.0 5.735 1.84 0.08 6.121 3.335 0.29 25 44 1.75 6.31 3.606 0.26 
XM99 TX02 Wilson 31.51 -103.20 40.25 4.874 1.80 0.10 6.121 3.396 0.28 15 44 1.75 6.3 3.6 0.26 
XM99 TX03 Wilson 31.62 -103.32 31.0 6.159 1.76 0.16 6.121 3.483 0.26 17 44 1.75 6.29 3.594 0.26 
XM99 TX04 Wilson 31.73 -103.45 30.75 1.065 1.79 0.04 6.121 3.415 0.27 7 45 1.75 6.29 3.594 0.26 
XM99 TX05 Wilson 31.88 -103.61 39.0 5.556 1.62 0.11 6.121 3.778 0.19 10 44 1.75 6.27 3.583 0.26 
XM99 TX06 Wilson 31.97 -103.71 37.25 5.2 1.71 0.09 6.121 3.584 0.24 19 43 1.75 6.26 3.577 0.26 
XM99 NM07 Wilson 32.08 -103.84 28.0 8.915 1.69 0.04 6.129 3.632 0.23 19 42 1.74 6.24 3.586 0.25 
XM99 NM08 Wilson 32.20 -103.97 27.5 4.427 1.62 0.13 6.129 3.777 0.19 20 42 1.74 6.23 3.58 0.25 
XM99 NM09 Wilson 32.33 -104.12 42.75 6.346 1.80 0.11 6.232 3.462 0.28 22 41 1.74 6.21 3.569 0.25 
XM99 NM10 Wilson 32.47 -104.27 42.25 1.641 1.75 0.02 6.232 3.566 0.26 24 41 1.74 6.21 3.569 0.25 
XM99 NM11 Wilson 32.58 -104.41 44.25 4.52 1.71 0.10 6.232 3.65 0.24 19 42 1.73 6.26 3.618 0.25 
XM99 NM12 Wilson 32.68 -104.51 43.25 3.983 1.70 0.09 6.232 3.666 0.24 27 42 1.73 6.26 3.618 0.25 
XM99 NM13 Wilson 32.80 -104.65 28.75 8.832 2.10 0.18 6.232 2.971 0.35 12 44 1.74 6.27 3.603 0.25 
XM99 NM14 Wilson 32.91 -104.76 55.5 7.405 1.60 0.13 6.232 3.895 0.18 32 45 1.74 6.28 3.609 0.25 
XM99 NM15 Wilson 33.01 -104.91 46.25 4.948 1.95 0.11 6.232 3.2 0.32 34 47 1.75 6.29 3.594 0.26 
XM99 NM16 Wilson 33.17 -105.13 42.0 8.73 1.93 0.14 6.232 3.225 0.32 21 48 1.75 6.28 3.589 0.26 
XM99 NM17 Wilson 33.26 -105.17 27.25 11.192 1.61 0.10 6.232 3.871 0.19 27 48 1.75 6.28 3.589 0.26 
XM99 NM18 Wilson 33.40 -105.34 45.75 3.577 1.79 0.05 6.232 3.491 0.27 34 47 1.76 6.27 3.563 0.26 
XM99 NM19 Wilson 33.49 -105.46 51.75 5.239 1.71 0.11 6.232 3.655 0.24 21 46 1.76 6.26 3.557 0.26 
XM99 NM20 Wilson 33.60 -105.59 42.75 3.125 1.75 0.04 6.232 3.556 0.26 29 42 1.77 6.24 3.525 0.27 
XM99 NM21 Wilson 33.73 -105.74 52.25 7.702 1.70 0.14 6.232 3.666 0.24 3 41 1.77 6.22 3.514 0.27 
XM99 NM22 Wilson 33.84 -105.87 39.25 0.383 1.83 0.03 6.232 3.41 0.29 30 40 1.78 6.21 3.489 0.27 
XM99 NM23 Wilson 33.95 -106.01 41.0 0.947 1.74 0.02 6.502 3.731 0.25 32 39 1.78 6.2 3.483 0.27 
XM99 NM24 Wilson 34.05 -106.12 39.75 0.292 1.81 0.01 6.502 3.587 0.28 30 38 1.78 6.19 3.478 0.27 
XM99 NM25 Wilson 34.17 -106.26 39.75 2.567 1.76 0.06 6.502 3.684 0.26 33 38 1.78 6.19 3.478 0.27 
XM99 NM26 Wilson 34.26 -106.36 38.75 0.269 1.73 0.01 6.502 3.764 0.25 50 37 1.78 6.18 3.472 0.27 
XM99 NM27 Wilson 34.39 -106.52 38.5 0.557 1.72 0.02 6.502 3.785 0.24 28 37 1.78 6.17 3.466 0.27 
XM99 NM28 Wilson 34.54 -106.70 39.25 9.993 2.10 0.16 6.502 3.1 0.35 23 37 1.78 6.16 3.461 0.27 
XM99 NM29 Wilson 34.65 -106.85 25.0 15.146 1.60 0.13 6.502 4.063 0.18 6 37 1.78 6.16 3.461 0.27 
XM99 NM30 Wilson 34.74 -106.97 39.25 12.957 1.88 0.15 6.502 3.454 0.30 17 38 1.78 6.15 3.455 0.27 
XM99 NM31 Wilson 34.85 -107.10 41.25 1.599 1.70 0.03 6.502 3.824 0.24 33 38 1.78 6.15 3.455 0.27 
XM99 NM32 Wilson 34.98 -107.26 41.5 1.58 1.74 0.01 6.502 3.731 0.25 35 39 1.77 6.09 3.441 0.27 
XM99 NM33 Wilson 35.11 -107.42 51.0 7.827 1.92 0.08 6.502 3.391 0.31 50 40 1.77 6.03 3.407 0.27 
XM99 NM34 Wilson 35.27 -107.64 32.25 0.0 1.60 0.00 6.502 4.063 0.18 11 41 1.77 6.07 3.429 0.27 
XM99 NM35 Wilson 35.34 -107.71 46.5 1.417 1.76 0.04 6.502 3.694 0.26 43 42 1.76 6.1 3.466 0.26 
XM99 NM36 Wilson 35.45 -107.82 27.75 5.39 1.89 0.08 6.502 3.431 0.31 36 43 1.76 6.14 3.489 0.26 
XM99 NM37 Wilson 35.58 -108.00 52.0 10.644 1.75 0.16 6.496 3.723 0.26 24 46 1.76 6.18 3.511 0.26 
XM99 NM38 Wilson 35.70 -108.16 54.75 4.493 1.64 0.12 6.496 3.967 0.20 21 47 1.76 6.2 3.523 0.26 
XM99 NM39 Wilson 35.79 -108.27 38.5 8.616 1.83 0.10 6.496 3.559 0.29 31 47 1.76 6.22 3.534 0.26 
XM99 NM40 Wilson 35.95 -108.43 49.0 1.692 1.75 0.04 6.496 3.701 0.26 24 47 1.76 6.23 3.54 0.26 
XM99 NM41 Wilson 36.04 -108.57 41.5 1.532 1.96 0.07 6.476 3.312 0.32 22 47 1.75 6.24 3.566 0.26 
XM99 NM42 Wilson 36.15 -108.72 35.75 7.885 2.01 0.12 6.476 3.222 0.34 22 47 1.75 6.25 3.571 0.26 
XM99 NM43 Wilson 36.25 -108.89 48.75 9.007 1.79 0.11 6.476 3.618 0.27 21 46 1.75 6.27 3.583 0.26 
XM99 NM44 Wilson 36.42 -108.96 49.5 10.674 1.67 0.16 6.476 3.878 0.22 31 46 1.75 6.28 3.589 0.26 
XM99 AZ45 Wilson 36.46 -109.08 27.0 8.514 1.77 0.08 6.476 3.654 0.27 41 47 1.75 6.3 3.6 0.26 
XM99 AZ46 Wilson 36.55 -109.23 38.5 9.913 1.84 0.13 6.476 3.52 0.29 35 45 1.75 6.3 3.6 0.26 
XM99 AZ47 Wilson 36.64 -109.33 33.5 4.692 2.04 0.17 6.476 3.174 0.34 39 44 1.75 6.32 3.611 0.26 
XM99 AZ48 Wilson 36.76 -109.54 31.25 5.642 1.67 0.05 6.476 3.884 0.22 46 46 1.75 6.34 3.623 0.26 
XM99 AZ49 Wilson 36.89 -109.69 49.25 1.769 1.81 0.02 6.476 3.588 0.28 51 46 1.75 6.35 3.629 0.26 
XM99 AZ50 Wilson 36.98 -109.86 50.25 7.99 1.60 0.14 6.476 4.047 0.18 35 45 1.75 6.41 3.663 0.26 
XM99 UT51 Wilson 37.07 -110.00 33.0 3.776 1.60 0.03 6.476 4.047 0.18 50 45 1.75 6.46 3.691 0.26 
XM99 UT52 Wilson 37.23 -110.13 26.75 6.991 1.80 0.08 6.247 3.48 0.27 51 45 1.75 6.46 3.691 0.26 
XM99 UT53 Wilson 37.35 -110.33 44.5 8.072 1.71 0.06 6.247 3.664 0.24 40 44 1.75 6.45 3.686 0.26 
XM99 UT54 Wilson 37.42 -110.51 67.25 4.984 1.79 0.06 6.247 3.49 0.27 7 45 1.75 6.46 3.691 0.26 
